,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
SOONUSDT,40.00830522520829,-1.7158523793473142,2.9152323720529822,4351.093092616392,648.0,50.543793725422084,-10.535488500213775,35.377220473807995,7756844.0
MYROUSDT,38.90348214699207,-1.2197795162582246,1.792200645712271,2674.9263368839856,1320.0,48.946739935387455,-10.043257788395357,35.89150198502158,13324884.484375
CAKEUSDT,40.90115517049949,-0.28304255281365165,4.579493228452749,6835.064520078729,1488.0,5.922765708428823,34.978389462070666,36.03861938923309,17481750.90625
AEROUSDT,36.36043990917002,1.1513710352000481,1.397226962803145,2085.413377318127,732.0,29.637087647588295,6.72335226158171,36.11458398156692,11163507.890625
SUPERUSDT,35.91599562110809,3.472839314835425,2.472985617169917,3691.023309208831,1188.0,35.164421616331,0.7515740047770918,36.915849318773596,9572517.4765625
INITUSDT,24.9806341177152,14.88852479979427,1.9784851218176678,2952.962868384579,684.0,-26.374896387137372,51.35553050485251,37.890673795691804,5105778.8984375
XVGUSDT,36.32509624788347,3.4162485120328188,1.6073272154590863,2398.995843968786,888.0,29.870633282344244,6.454462965539251,38.1340175444572,5653438.203125
PUMPUSDT,40.87682895272869,2.3208887888013328,3.9145809351158993,5842.658112113281,2375.0,19.862163013754916,21.0146659389738,39.28313680641412,103265804.8125
NEARUSDT,65.81822772745535,-6.3329816015005544,19.75493161827305,29484.972564586682,13584.0,61.73032847437806,4.087899253077439,39.73031450768174,142951063.25
BMTUSDT,40.62790048966694,-0.14582148171145662,0.33376985920181734,498.1639689579363,312.0,40.62790048966694,0.0,40.14830914875367,2372521.294921875
TIAUSDT,49.13420059252898,-0.6843698807204113,6.774725322238799,10111.5303316997,6552.0,72.83833629296694,-23.70413570043772,41.675105389569765,112199050.375
HUMAUSDT,45.968388739993486,-1.5455426136046602,2.200214498037523,3283.9022358769,396.0,39.819452080975324,6.148936659018164,42.2226316283513,8801086.2109375
ASRUSDT,52.98287150863831,-10.010715317538333,0.742275626156949,1107.8740688909686,144.0,0.0,52.98287150863831,42.22988056494303,1880581.869140625
BTTUSDT,48.64135197126866,-0.6545602634324307,5.023493708976245,7497.751804442154,2052.0,67.41072783785464,-18.76937586658587,42.963297998859986,67401745.4375
CYSUSDT,43.729153138009146,0.1308874918993074,0.64159845892041,957.6096401797168,552.0,43.729153138009146,0.0,43.21844217098804,8553501.9921875
TSTUSDT,45.51615180771797,-0.9362169516474876,1.094068044309483,1632.937379566392,396.0,22.521329430881664,22.994822376836296,43.485866811761,6149728.7265625
GLMUSDT,40.840104627500686,4.267815477461028,1.435232383863665,2142.137886363679,264.0,28.705596157290984,12.13450847020972,43.67268772109805,5921537.65625
MATICUSDT,65.58748300063434,-3.640949948244136,17.857961696278974,26653.674173550684,9108.0,81.25057300130031,-15.663090000666259,44.08857135611123,326691895.0
GUNUSDT,45.277640928246136,2.0568189229235125,1.8488785392410048,2759.5202078223947,564.0,8.183142455054236,37.09449847319189,45.48558131192864,6079576.33984375
BICOUSDT,46.081060605196136,0.7889010133964606,1.03407776804352,1543.3996537962985,408.0,46.081060605196136,0.0,45.83588385054908,3873597.046875
MUUSDT,48.52020460329292,-1.5405919409852826,0.8903821621359931,1328.928600202975,1320.0,49.58900100995654,-1.068796406663618,46.089230500171645,308171195.4375
ARCUSDT,55.644444439978614,-5.873208627446468,3.473037129726304,5183.637507054185,1776.0,76.26093127687906,-20.616486836900453,46.29819868280585,13952089.94921875
BLURUSDT,50.07137823164502,1.9272113992000994,5.576776042489699,8323.546332074171,4992.0,3.480550105743338,46.590828125901666,46.42181358835542,15464596.125
NMRUSDT,34.05045772275856,14.326929221045527,1.276501474061839,1905.2260806893114,876.0,24.054340846503305,9.996116876255268,47.100885469742245,5524531.1015625
HNTUSDT,68.75580694284497,-6.117671207412147,15.245138781726261,22753.938480188455,8016.0,-107.25654463857879,176.01235158142302,47.392996953706565,32359667.59375
AIOUSDT,47.45405787913095,0.44010811894394125,0.36648455158845344,546.9918680424677,120.0,0.0,47.45405787913095,47.52768144648643,2680121.9384765625
ALTUSDT,43.03942284564802,8.057939255331311,3.1037842576967196,4632.513817457789,2292.0,-14.732673207266943,57.772096052914975,47.993577843282615,13225378.5625
SEIUSDT,57.09465629163084,-2.034654137805995,6.959772319031758,10387.719879151871,5484.0,7.81909315066602,49.27556314096469,48.10022983479309,61575502.4375
AGLDUSDT,42.46344883811578,8.44034181071177,2.142281802589249,3197.435526252609,1608.0,50.78247409957723,-8.319025261461451,48.7615088462383,6253787.203125
GASUSDT,12.932394652545188,38.888001770495336,2.916976374794946,4353.696081783502,1536.0,2.989098649609341,9.943296002935796,48.90342004824557,6997228.671875
